Risk_ID,Year,Company,Industry,Risk_Category,Risk_Type,AI_Adoption_Rate,Competitor_AI_Investment_USD_B,Market_Share_Change_Pct,Customer_Churn_Rate_Pct,Inventory_Turnover_Improvement_Pct,Likelihood_Score_1_9,Impact_Score_1_9,Probability_0_1,Financial_Impact_USD_M,Expected_Loss_USD_M,Risk_Priority,Outcome,Risk_Score
RE012,2020,Best Buy,Consumer Electronics,Operational,Regulatory Non-Compliance,0.73,7.47,-3.68,9.52,3.4,3,9,0.23,3938.0,906.0,Medium,Loss Avoided,27
RE013,2020,Walgreens,Retail,Compliance,Regulatory Non-Compliance,0.38,20.55,1.4,10.89,0.05,7,1,0.77,5807.0,4471.0,Low,Opportunity Captured,7
RE014,2022,Costco,E-Commerce,Financial,Regulatory Non-Compliance,0.43,13.52,0.5,6.24,-0.95,7,1,0.22,14148.0,3113.0,Low,Loss Avoided,7
RE015,2021,Amazon,Pharmacy,Technology,Market Share Erosion,0.54,22.06,-4.59,6.17,-4.05,7,8,0.13,9175.0,1193.0,High,Loss Avoided,56
RE016,2020,Dollar General,Grocery,Operational,Market Share Erosion,0.76,14.58,-5.45,1.63,13.33,3,8,0.44,12533.0,5515.0,Medium,Partial Loss,24
RE017,2023,Target,Consumer Electronics,Technology,Supply Chain Disruption,0.15,1.23,-2.96,5.9,2.64,3,6,0.64,10670.0,6829.0,Medium,Loss Avoided,18
RE018,2022,Walmart,Pharmacy,Competitive,Revenue Loss,0.44,17.05,0.59,14.01,29.63,9,4,0.44,1732.0,762.0,Medium,Loss Avoided,36
RE019,2019,Walgreens,Grocery,Technology,Data Breach,0.17,1.6,2.56,6.31,15.11,9,1,0.3,11052.0,3316.0,Low,Loss Avoided,9
RE020,2021,Target,Grocery,Competitive,Regulatory Non-Compliance,0.51,11.54,0.4,12.64,-0.17,1,8,0.55,4163.0,2290.0,Low,Partial Loss,8
RE021,2023,Dollar General,Retail,Competitive,Customer Attrition,0.82,23.27,1.41,12.79,19.11,3,1,0.36,9605.0,3458.0,Low,Partial Loss,3
RE022,2023,Best Buy,E-Commerce,Technology,Vendor Dependency,0.73,4.55,-1.37,6.23,26.42,3,8,0.89,5147.0,4581.0,Medium,Loss Avoided,24
RE023,2019,Dollar General,E-Commerce,Operational,Customer Attrition,0.28,10.05,1.19,9.85,21.08,3,2,0.88,14965.0,13169.0,Low,Loss Avoided,6
RE024,2021,Kroger,Pharmacy,Financial,Workforce Resistance,0.88,18.38,0.63,2.34,-2.32,9,1,0.5,3990.0,1995.0,Low,Loss Avoided,9
RE025,2022,Dollar General,E-Commerce,Compliance,Customer Attrition,0.63,22.12,-3.85,2.45,26.36,7,2,0.35,4223.0,1478.0,Low,Loss Avoided,14
RE026,2018,Kroger,Consumer Electronics,Compliance,Workforce Resistance,0.11,16.94,-1.93,1.68,22.79,5,1,0.71,13964.0,9914.0,Low,Loss Realized,5
RE027,2021,Best Buy,E-Commerce,Financial,Legacy Integration Failure,0.3,6.83,0.85,9.13,0.54,9,4,0.08,418.0,33.0,Medium,Partial Loss,36
RE028,2019,CVS,Pharmacy,Competitive,Vendor Dependency,0.31,17.03,-7.49,6.96,-3.19,3,6,0.48,10466.0,5024.0,Medium,Loss Avoided,18
RE029,2023,Kroger,E-Commerce,Competitive,Customer Attrition,0.16,7.77,0.89,8.67,14.51,9,9,0.35,10894.0,3813.0,High,Loss Avoided,81
RE030,2022,Walmart,Consumer Electronics,Operational,Legacy Integration Failure,0.87,18.1,-6.04,8.3,0.46,1,9,0.88,12554.0,11048.0,Low,Loss Realized,9
RE031,2021,Dollar General,Retail,Reputational,AI Model Failure,0.48,23.87,-2.34,5.9,24.21,3,9,0.06,14618.0,877.0,Medium,Loss Realized,27
RE032,2018,Dollar General,Pharmacy,Technology,Data Breach,0.82,18.17,0.89,10.48,7.54,1,2,0.55,14635.0,8049.0,Low,Opportunity Captured,2
RE033,2018,Walmart,Retail,Competitive,Legacy Integration Failure,0.36,21.64,-5.21,11.62,26.95,3,8,0.72,1026.0,739.0,Medium,Loss Avoided,24
RE034,2020,Amazon,Retail,Compliance,Data Breach,0.2,0.55,-5.3,1.2,14.8,9,9,0.49,12336.0,6045.0,High,Loss Realized,81
RE035,2020,Home Depot,Retail,Operational,Customer Attrition,0.48,18.08,-3.57,3.9,1.39,7,4,0.13,9712.0,1263.0,Medium,Loss Avoided,28
RE036,2024,CVS,Grocery,Technology,Revenue Loss,0.19,20.82,1.84,10.99,-0.11,5,9,0.93,9728.0,9047.0,High,Loss Avoided,45
RE037,2019,Walgreens,Grocery,Operational,Legacy Integration Failure,0.49,1.49,-8.0,6.41,15.18,1,1,0.52,1969.0,1024.0,Low,Loss Realized,1
RE038,2021,Kroger,Retail,Technology,Vendor Dependency,0.84,21.85,1.92,10.27,21.67,9,2,0.6,9770.0,5862.0,Medium,Loss Avoided,18
RE039,2021,Walmart,Pharmacy,Technology,Customer Attrition,0.52,6.79,-6.31,5.86,22.35,7,1,0.26,14738.0,3832.0,Low,Loss Avoided,7
RE040,2024,Best Buy,Consumer Electronics,Financial,Regulatory Non-Compliance,0.59,16.8,2.89,6.47,4.65,9,1,0.49,13682.0,6704.0,Low,Loss Avoided,9
RE041,2023,Kroger,Consumer Electronics,Competitive,Market Share Erosion,0.23,20.11,2.5,3.22,2.15,1,1,0.44,6615.0,2911.0,Low,Loss Avoided,1
RE042,2023,Home Depot,E-Commerce,Operational,Legacy Integration Failure,0.13,16.74,-2.56,4.62,-4.41,5,6,0.12,647.0,78.0,Medium,Loss Avoided,30
RE043,2024,Best Buy,Pharmacy,Operational,Vendor Dependency,0.19,2.76,-2.36,9.48,18.77,9,6,0.15,5466.0,820.0,High,Opportunity Captured,54
RE044,2023,Target,Grocery,Financial,AI Model Failure,0.58,15.11,-2.7,7.06,-2.32,3,8,0.8,12405.0,9924.0,Medium,Loss Avoided,24
RE045,2020,Dollar General,Retail,Compliance,Regulatory Non-Compliance,0.18,13.96,-1.01,11.84,9.73,7,2,0.27,10537.0,2845.0,Low,Loss Realized,14
RE046,2021,Target,E-Commerce,Compliance,AI Model Failure,0.4,22.56,-7.0,12.94,16.06,9,4,0.23,6917.0,1591.0,Medium,Loss Realized,36
RE047,2024,Kroger,Consumer Electronics,Competitive,Customer Attrition,0.54,10.4,-7.64,8.58,27.8,7,4,0.5,874.0,437.0,Medium,Loss Avoided,28
RE048,2021,Home Depot,Grocery,Competitive,Market Share Erosion,0.41,8.37,-7.37,11.62,5.91,3,4,0.74,6432.0,4760.0,Low,Partial Loss,12
RE049,2018,CVS,Grocery,Reputational,Legacy Integration Failure,0.23,18.87,-3.11,5.3,3.74,5,1,0.11,7062.0,777.0,Low,Loss Realized,5
RE050,2020,Kroger,Retail,Financial,Legacy Integration Failure,0.32,10.61,-4.97,6.81,17.9,5,6,0.57,13932.0,7941.0,Medium,Partial Loss,30
RE051,2022,Walmart,Consumer Electronics,Compliance,Revenue Loss,0.84,16.33,-1.16,10.98,16.67,3,2,0.16,9634.0,1541.0,Low,Loss Realized,6
RE052,2020,Costco,Pharmacy,Technology,Revenue Loss,0.64,16.34,2.92,6.41,6.62,7,1,0.08,4709.0,377.0,Low,Loss Avoided,7
RE053,2024,Kroger,Grocery,Operational,Customer Attrition,0.5,22.26,-3.75,9.24,27.48,9,6,0.1,7904.0,790.0,High,Partial Loss,54
RE054,2022,Dollar General,Retail,Competitive,Customer Attrition,0.11,15.17,-1.69,3.6,24.57,3,6,0.8,1038.0,830.0,Medium,Loss Avoided,18
RE055,2018,Dollar General,Pharmacy,Operational,Market Share Erosion,0.89,12.8,-3.43,9.4,2.84,1,9,0.16,14590.0,2334.0,Low,Loss Avoided,9
RE056,2024,Kroger,Consumer Electronics,Operational,Revenue Loss,0.64,3.9,1.32,13.06,3.37,7,9,0.09,5433.0,489.0,High,Loss Realized,63
RE057,2019,Best Buy,Grocery,Reputational,Vendor Dependency,0.35,3.34,1.92,13.16,12.93,5,2,0.44,7194.0,3165.0,Low,Partial Loss,10
RE058,2021,Costco,Pharmacy,Compliance,Vendor Dependency,0.8,4.28,1.65,11.14,22.08,3,2,0.81,5361.0,4342.0,Low,Loss Realized,6
RE059,2018,Walmart,Pharmacy,Competitive,Market Share Erosion,0.31,4.71,2.72,11.44,-3.46,5,2,0.29,10254.0,2974.0,Low,Partial Loss,10
RE060,2021,Kroger,Pharmacy,Operational,Vendor Dependency,0.54,16.13,-7.7,8.81,19.27,7,1,0.43,9950.0,4278.0,Low,Loss Realized,7
RE061,2023,Best Buy,Grocery,Competitive,Workforce Resistance,0.61,18.65,1.24,9.19,17.69,5,8,0.09,10744.0,967.0,High,Partial Loss,40
RE062,2019,Dollar General,Grocery,Technology,Data Breach,0.28,13.48,0.27,2.87,3.1,3,2,0.45,4059.0,1827.0,Low,Loss Avoided,6
RE063,2019,Dollar General,E-Commerce,Reputational,Market Share Erosion,0.88,20.81,-5.48,7.21,18.85,7,9,0.57,4769.0,2718.0,High,Partial Loss,63
RE064,2018,Home Depot,Consumer Electronics,Technology,Market Share Erosion,0.7,24.79,2.52,7.31,27.91,1,8,0.56,1923.0,1077.0,Low,Loss Avoided,8
RE065,2019,Kroger,Retail,Competitive,Supply Chain Disruption,0.55,20.59,-6.37,14.42,-3.36,3,1,0.35,9850.0,3448.0,Low,Opportunity Captured,3
RE066,2022,Costco,Pharmacy,Competitive,Regulatory Non-Compliance,0.24,17.52,-0.52,7.04,6.19,9,8,0.33,645.0,213.0,High,Loss Realized,72
RE067,2019,Amazon,E-Commerce,Compliance,Regulatory Non-Compliance,0.14,13.55,-5.53,8.69,10.34,3,4,0.15,8985.0,1348.0,Low,Loss Realized,12
RE068,2021,Costco,Retail,Operational,Workforce Resistance,0.36,11.5,-3.25,8.47,26.47,7,8,0.38,13052.0,4960.0,High,Loss Avoided,56
RE069,2021,Dollar General,E-Commerce,Operational,Revenue Loss,0.7,2.57,-0.09,9.91,28.68,3,2,0.14,13368.0,1872.0,Low,Loss Realized,6
RE070,2024,Dollar General,Grocery,Technology,Customer Attrition,0.32,10.28,-1.8,11.48,10.54,1,1,0.74,6763.0,5005.0,Low,Loss Realized,1
RE071,2021,Target,Pharmacy,Reputational,Customer Attrition,0.53,22.8,-3.3,4.15,21.25,1,2,0.92,6917.0,6364.0,Low,Opportunity Captured,2
RE072,2024,Dollar General,Retail,Financial,AI Model Failure,0.68,20.3,-4.41,8.4,13.61,9,9,0.92,1201.0,1105.0,High,Opportunity Captured,81
RE073,2021,Walmart,Retail,Operational,Workforce Resistance,0.19,5.79,1.24,12.56,13.82,5,4,0.83,10078.0,8365.0,Medium,Loss Avoided,20
RE074,2022,Walgreens,Retail,Compliance,Market Share Erosion,0.65,11.93,-6.42,7.48,4.73,7,9,0.59,12328.0,7274.0,High,Opportunity Captured,63
RE075,2024,Kroger,Retail,Technology,Workforce Resistance,0.17,20.51,-3.27,4.9,2.59,7,2,0.68,3708.0,2521.0,Low,Loss Avoided,14
RE076,2020,Costco,Retail,Technology,Workforce Resistance,0.87,2.15,1.94,10.17,5.08,5,2,0.31,6348.0,1968.0,Low,Loss Realized,10
RE077,2023,Walgreens,E-Commerce,Financial,Workforce Resistance,0.49,9.99,1.3,12.53,14.47,1,2,0.62,12591.0,7806.0,Low,Partial Loss,2
RE078,2018,Best Buy,Pharmacy,Compliance,Regulatory Non-Compliance,0.22,21.37,-3.59,1.88,-3.98,1,6,0.46,13163.0,6055.0,Low,Loss Avoided,6
RE079,2021,Amazon,Grocery,Reputational,Workforce Resistance,0.37,10.4,0.39,11.88,26.75,3,4,0.48,3686.0,1769.0,Low,Opportunity Captured,12
RE080,2019,Walmart,Grocery,Compliance,Data Breach,0.43,2.4,1.05,12.5,0.47,9,2,0.73,8281.0,6045.0,Medium,Loss Realized,18
RE081,2021,Costco,Grocery,Reputational,Customer Attrition,0.71,13.79,1.78,7.46,2.7,9,2,0.3,2928.0,878.0,Medium,Loss Avoided,18
RE082,2019,Walgreens,Grocery,Compliance,AI Model Failure,0.69,21.61,-2.01,14.77,13.14,9,9,0.34,1573.0,535.0,High,Loss Realized,81
RE083,2023,Amazon,E-Commerce,Compliance,Data Breach,0.59,14.96,-5.75,12.01,19.85,3,9,0.88,13671.0,12030.0,Medium,Loss Realized,27
RE084,2023,Target,Consumer Electronics,Competitive,AI Model Failure,0.18,6.04,-5.19,11.83,-1.65,9,2,0.1,12317.0,1232.0,Medium,Loss Realized,18
RE085,2023,Walmart,Pharmacy,Technology,Supply Chain Disruption,0.22,9.91,-4.75,11.47,6.12,5,1,0.49,11413.0,5592.0,Low,Opportunity Captured,5
RE086,2019,Walmart,Retail,Compliance,AI Model Failure,0.18,11.53,-1.47,3.11,28.9,3,6,0.87,779.0,678.0,Medium,Partial Loss,18
RE087,2021,Target,Consumer Electronics,Financial,Customer Attrition,0.56,14.69,-7.64,4.04,4.18,5,9,0.6,12664.0,7598.0,High,Partial Loss,45
RE088,2023,Kroger,Grocery,Compliance,Customer Attrition,0.8,19.1,-1.0,7.5,5.96,3,1,0.54,6599.0,3563.0,Low,Loss Avoided,3
RE089,2022,Target,Consumer Electronics,Operational,Workforce Resistance,0.45,2.92,-3.99,4.7,24.28,9,6,0.27,5169.0,1396.0,High,Loss Avoided,54
RE090,2024,Walmart,Pharmacy,Technology,Legacy Integration Failure,0.23,22.3,-4.75,6.81,-3.24,5,2,0.36,8220.0,2959.0,Low,Loss Realized,10
RE091,2019,Walmart,Retail,Operational,Supply Chain Disruption,0.55,0.8,1.67,13.44,11.26,5,4,0.82,1416.0,1161.0,Medium,Loss Realized,20
RE092,2019,Walgreens,Retail,Technology,Market Share Erosion,0.75,9.57,-2.94,12.54,8.29,5,8,0.55,11362.0,6249.0,High,Loss Avoided,40
RE093,2021,Dollar General,Pharmacy,Operational,Vendor Dependency,0.69,1.17,-6.95,9.82,6.08,3,8,0.51,8757.0,4466.0,Medium,Partial Loss,24
RE094,2019,Amazon,Pharmacy,Compliance,AI Model Failure,0.81,10.13,1.09,13.01,5.0,7,2,0.14,2840.0,398.0,Low,Loss Avoided,14
RE095,2019,Target,Grocery,Compliance,Legacy Integration Failure,0.32,13.38,-7.48,11.97,-1.8,9,9,0.06,2864.0,172.0,High,Loss Realized,81
RE096,2023,Amazon,Retail,Competitive,Workforce Resistance,0.26,13.04,-0.01,7.01,6.02,5,1,0.92,2805.0,2581.0,Low,Loss Realized,5
RE097,2021,Target,Consumer Electronics,Financial,Regulatory Non-Compliance,0.8,4.56,0.51,3.81,-3.49,7,4,0.39,902.0,352.0,Medium,Loss Realized,28
RE098,2023,Best Buy,E-Commerce,Operational,Market Share Erosion,0.63,16.32,-4.12,8.2,22.33,9,6,0.59,8838.0,5214.0,High,Loss Avoided,54
RE099,2024,Walmart,E-Commerce,Reputational,Revenue Loss,0.35,1.6,1.07,11.31,8.94,9,2,0.12,12613.0,1514.0,Medium,Opportunity Captured,18
RE100,2024,Dollar General,Pharmacy,Competitive,Legacy Integration Failure,0.69,19.17,-2.33,7.11,10.54,5,4,0.66,312.0,206.0,Medium,Loss Avoided,20
RE101,2023,Walgreens,Grocery,Operational,Regulatory Non-Compliance,0.75,23.69,-2.9,10.33,26.28,5,4,0.89,783.0,697.0,Medium,Partial Loss,20
RE102,2024,Dollar General,E-Commerce,Operational,Supply Chain Disruption,0.59,8.82,-7.5,2.32,18.03,3,9,0.57,8613.0,4909.0,Medium,Loss Avoided,27
RE103,2021,Dollar General,Retail,Competitive,Workforce Resistance,0.65,13.17,-4.81,11.47,-4.72,7,6,0.16,12301.0,1968.0,High,Loss Avoided,42
RE104,2018,Dollar General,Pharmacy,Compliance,Market Share Erosion,0.4,9.78,2.24,12.38,28.01,7,4,0.57,4935.0,2813.0,Medium,Loss Realized,28
RE105,2023,Amazon,Consumer Electronics,Operational,Market Share Erosion,0.53,0.66,-3.69,10.9,3.3,5,9,0.74,5277.0,3905.0,High,Partial Loss,45
RE106,2022,Target,Pharmacy,Compliance,Market Share Erosion,0.52,9.95,-1.99,14.54,-1.23,9,1,0.42,8965.0,3765.0,Low,Partial Loss,9
RE107,2022,CVS,Consumer Electronics,Competitive,Supply Chain Disruption,0.78,19.9,-2.15,12.57,21.88,5,9,0.84,4149.0,3485.0,High,Loss Realized,45
RE108,2019,Best Buy,Pharmacy,Compliance,AI Model Failure,0.77,15.1,-1.51,13.64,12.52,9,1,0.63,448.0,282.0,Low,Loss Avoided,9
RE109,2024,Costco,Pharmacy,Technology,Revenue Loss,0.77,2.98,-7.33,14.07,10.18,9,1,0.86,11042.0,9496.0,Low,Loss Avoided,9
RE110,2022,Dollar General,Pharmacy,Reputational,Supply Chain Disruption,0.11,21.25,-4.02,12.22,3.73,5,4,0.61,9403.0,5736.0,Medium,Loss Avoided,20
RE111,2019,Kroger,Consumer Electronics,Operational,Vendor Dependency,0.7,13.51,-0.05,10.44,14.16,1,9,0.17,8732.0,1484.0,Low,Opportunity Captured,9
RE112,2018,Amazon,Consumer Electronics,Financial,Revenue Loss,0.71,21.12,-5.79,1.08,4.6,7,1,0.33,11138.0,3676.0,Low,Loss Avoided,7
RE113,2021,Walgreens,Pharmacy,Reputational,Customer Attrition,0.64,14.72,-5.76,7.52,26.56,9,6,0.23,10145.0,2333.0,High,Loss Avoided,54
RE114,2021,Costco,E-Commerce,Compliance,Workforce Resistance,0.71,14.21,-7.89,9.0,2.53,9,4,0.87,3128.0,2721.0,Medium,Loss Realized,36
RE115,2021,CVS,Grocery,Operational,Supply Chain Disruption,0.77,3.08,-3.19,5.26,25.95,1,9,0.73,5320.0,3884.0,Low,Loss Realized,9
RE116,2022,Kroger,Grocery,Compliance,Regulatory Non-Compliance,0.48,4.6,1.71,5.45,14.58,3,9,0.66,1935.0,1277.0,Medium,Loss Realized,27
RE117,2018,CVS,Grocery,Technology,Revenue Loss,0.5,24.31,-7.43,14.46,24.0,1,8,0.32,1991.0,637.0,Low,Loss Realized,8
RE118,2022,Costco,Consumer Electronics,Competitive,Vendor Dependency,0.2,6.1,-5.9,13.48,19.95,1,9,0.22,10159.0,2235.0,Low,Partial Loss,9
RE119,2024,Dollar General,Consumer Electronics,Operational,Customer Attrition,0.41,24.45,-4.59,12.89,19.38,9,4,0.73,12886.0,9407.0,Medium,Partial Loss,36
RE120,2022,Kroger,E-Commerce,Technology,AI Model Failure,0.61,13.53,0.05,6.68,6.35,7,6,0.48,14443.0,6933.0,High,Loss Realized,42
RE121,2018,CVS,Grocery,Technology,Regulatory Non-Compliance,0.72,3.83,-0.95,1.19,3.19,1,9,0.25,9444.0,2361.0,Low,Partial Loss,9
RE122,2018,Walgreens,Grocery,Operational,Revenue Loss,0.27,2.93,-3.42,2.12,2.38,3,8,0.6,2802.0,1681.0,Medium,Loss Realized,24
RE123,2024,Target,Pharmacy,Compliance,Workforce Resistance,0.21,5.62,0.35,5.37,25.0,5,4,0.09,1629.0,147.0,Medium,Loss Avoided,20
RE124,2018,Walmart,Consumer Electronics,Financial,Regulatory Non-Compliance,0.63,23.18,-1.29,1.22,23.71,1,1,0.34,12202.0,4149.0,Low,Loss Realized,1
RE125,2018,Target,Grocery,Technology,Customer Attrition,0.1,10.65,1.86,1.24,10.42,1,2,0.47,8702.0,4090.0,Low,Loss Avoided,2
RE126,2021,Costco,E-Commerce,Reputational,Regulatory Non-Compliance,0.24,10.19,1.0,13.83,-0.37,3,2,0.18,9293.0,1673.0,Low,Loss Realized,6
RE127,2024,Amazon,E-Commerce,Technology,Data Breach,0.12,8.17,-5.22,10.89,8.38,7,1,0.94,11733.0,11029.0,Low,Loss Avoided,7
RE128,2020,Walmart,Grocery,Financial,Legacy Integration Failure,0.23,4.1,-5.01,5.33,16.68,1,9,0.24,10564.0,2535.0,Low,Loss Avoided,9
RE129,2020,Best Buy,Consumer Electronics,Compliance,AI Model Failure,0.25,12.45,-6.62,2.86,10.9,1,2,0.17,12525.0,2129.0,Low,Opportunity Captured,2
RE130,2018,Walgreens,E-Commerce,Compliance,Customer Attrition,0.41,3.69,-4.29,8.16,22.31,7,2,0.23,890.0,205.0,Low,Loss Realized,14
RE131,2020,Best Buy,Pharmacy,Reputational,Regulatory Non-Compliance,0.42,20.97,2.99,1.07,29.92,3,1,0.74,11225.0,8306.0,Low,Loss Realized,3
RE132,2020,Kroger,E-Commerce,Technology,Legacy Integration Failure,0.8,9.57,-3.54,14.14,1.69,1,9,0.43,12770.0,5491.0,Low,Loss Realized,9
RE133,2018,Walmart,Retail,Compliance,Legacy Integration Failure,0.51,9.68,-5.57,6.81,11.09,7,9,0.56,4328.0,2424.0,High,Loss Avoided,63
RE134,2020,Best Buy,Retail,Financial,Regulatory Non-Compliance,0.68,12.11,0.39,6.63,10.08,1,1,0.07,9625.0,674.0,Low,Loss Realized,1
RE135,2022,Best Buy,Consumer Electronics,Operational,Workforce Resistance,0.18,11.38,-2.03,6.47,5.66,5,9,0.08,4747.0,380.0,High,Partial Loss,45
RE136,2019,CVS,Grocery,Competitive,Data Breach,0.28,24.87,-6.35,1.97,1.93,9,9,0.45,14372.0,6467.0,High,Loss Avoided,81
RE137,2024,Target,Consumer Electronics,Competitive,Supply Chain Disruption,0.66,13.86,-3.81,9.94,-2.7,5,4,0.78,550.0,429.0,Medium,Loss Avoided,20
RE138,2019,CVS,Consumer Electronics,Competitive,Data Breach,0.14,2.66,-3.44,11.26,26.05,1,4,0.85,8718.0,7410.0,Low,Loss Avoided,4
RE139,2018,Walmart,Consumer Electronics,Technology,Regulatory Non-Compliance,0.49,15.37,0.29,10.47,9.69,3,1,0.13,2539.0,330.0,Low,Loss Realized,3
RE140,2021,Walmart,Consumer Electronics,Reputational,AI Model Failure,0.58,4.21,-7.77,2.94,12.39,9,6,0.53,10698.0,5670.0,High,Loss Realized,54
RE141,2024,Costco,Pharmacy,Compliance,Supply Chain Disruption,0.58,1.26,-5.04,9.1,27.09,5,2,0.87,2680.0,2332.0,Low,Loss Avoided,10
RE142,2018,CVS,Pharmacy,Operational,Customer Attrition,0.12,24.28,-2.31,8.97,22.17,7,4,0.4,3569.0,1428.0,Medium,Loss Avoided,28
RE143,2021,Home Depot,E-Commerce,Financial,Data Breach,0.36,19.45,-5.04,13.16,-0.43,3,2,0.8,7441.0,5953.0,Low,Loss Realized,6
RE144,2019,Target,Retail,Operational,Regulatory Non-Compliance,0.61,24.51,-1.09,6.31,14.79,5,8,0.17,13727.0,2334.0,High,Loss Realized,40
RE145,2018,Walmart,Consumer Electronics,Financial,Data Breach,0.22,12.21,-2.7,6.2,10.48,7,1,0.89,3215.0,2861.0,Low,Opportunity Captured,7
RE146,2024,Costco,E-Commerce,Technology,Supply Chain Disruption,0.66,13.54,-4.02,9.66,22.9,1,6,0.73,2206.0,1610.0,Low,Loss Realized,6
RE147,2024,CVS,Retail,Competitive,Vendor Dependency,0.7,4.62,2.44,9.86,20.35,7,8,0.9,11397.0,10257.0,High,Partial Loss,56
RE148,2023,Target,Grocery,Technology,Revenue Loss,0.89,6.55,-1.05,7.57,19.16,5,8,0.66,7534.0,4972.0,High,Partial Loss,40
RE149,2022,CVS,Pharmacy,Reputational,Data Breach,0.27,21.04,-6.57,7.2,6.92,5,9,0.38,13681.0,5199.0,High,Loss Realized,45
RE150,2020,Best Buy,Retail,Reputational,Customer Attrition,0.76,9.23,-1.84,7.92,23.17,1,8,0.89,2242.0,1995.0,Low,Loss Realized,8
RE151,2021,Costco,Grocery,Financial,Customer Attrition,0.52,20.76,0.59,13.05,-3.17,7,1,0.3,9707.0,2912.0,Low,Loss Realized,7
RE152,2023,Target,Retail,Compliance,Market Share Erosion,0.4,17.87,-0.21,7.46,0.59,7,4,0.35,3532.0,1236.0,Medium,Loss Avoided,28
RE153,2020,Dollar General,Pharmacy,Compliance,Data Breach,0.2,4.84,-6.11,14.16,6.75,1,1,0.68,2394.0,1628.0,Low,Loss Avoided,1
RE154,2020,Kroger,Pharmacy,Financial,Revenue Loss,0.69,12.93,2.7,8.06,-2.31,7,4,0.74,10267.0,7598.0,Medium,Partial Loss,28
RE155,2018,Kroger,E-Commerce,Reputational,Workforce Resistance,0.29,17.1,-3.06,14.29,3.22,1,8,0.89,8926.0,7944.0,Low,Opportunity Captured,8
RE156,2020,Target,Consumer Electronics,Reputational,Legacy Integration Failure,0.4,6.26,-6.25,12.66,24.06,3,8,0.23,11335.0,2607.0,Medium,Loss Avoided,24
RE157,2022,CVS,Retail,Reputational,Revenue Loss,0.15,20.85,-6.02,6.07,28.19,5,6,0.77,4676.0,3601.0,Medium,Loss Realized,30
RE158,2024,Costco,Retail,Technology,Legacy Integration Failure,0.74,13.85,-6.92,13.09,5.66,3,4,0.71,6747.0,4790.0,Low,Loss Realized,12
RE159,2023,Kroger,Grocery,Reputational,Legacy Integration Failure,0.71,4.55,0.84,2.54,4.26,9,8,0.11,6112.0,672.0,High,Partial Loss,72
RE160,2020,Costco,Pharmacy,Operational,Vendor Dependency,0.69,14.78,-6.66,13.95,4.8,9,9,0.4,14762.0,5905.0,High,Loss Realized,81
RE161,2018,Kroger,Retail,Competitive,Market Share Erosion,0.34,24.99,-6.62,9.84,4.72,9,2,0.3,4419.0,1326.0,Medium,Loss Realized,18
RE162,2022,Best Buy,Pharmacy,Reputational,Revenue Loss,0.24,4.19,1.36,1.76,-3.74,1,6,0.32,4458.0,1427.0,Low,Partial Loss,6
RE163,2019,CVS,Retail,Financial,Revenue Loss,0.61,20.51,-4.21,10.02,27.44,7,1,0.93,5350.0,4976.0,Low,Loss Avoided,7
